,Athlete,Meet Info,Lane_Place,Wind,Date,RT,50m,100m,150m,200m,Time,0-100m,100-200m,Differential,Vel_50m,Vel_100m,Vel_150m,Vel_200m,Vel_0_100m,Vel_100_200m,StrideRate,Source,Ath_Mt_Strd
753,"Golitin, Amaury (FRA) (1997)","FINAL - 2022 Meeting de Paris (Paris, FRA)",5 / 5,0.6 m/s,18-Jun-22,0.157,5.71,10.26,15.16,20.52,20.52,10.26,10.26,0.0,8.76,10.99,10.2,9.33,9.75,9.75,94.0,Omega Timing (2022) - diamond league race analysis,"Golitin, Amaury (FRA) (1997)_FINAL - 2022 Meeting de Paris (Paris, FRA)_94"
754,"Gómez, Miguel Ángel (ESP) (1968)","FINAL - 1989 IAAF World Cup (Barcelona, ESP)",/ 8,1.9 m/s,10-Sep-89,0.278,10.97,15.85,20.98,20.98,8.0,15.85,5.13,-10.72,9.12,10.25,9.75,9.53,6.31,19.49,,,"Gómez, Miguel Ángel (ESP) (1968)_FINAL - 1989 IAAF World Cup (Barcelona, ESP)"
755,Gong Junbo (CHN) (2006),"Heat 13 - 2024 Second Belt & Road Invitational Athletics Meeting (Chongqing, CHN)",4 / 6,-1.1 m/s,28-May-24,0.181,11.07,16.32,22.05,22.05,46.0,16.32,5.73,-10.59,9.03,9.52,8.73,9.07,6.13,17.45,91.0,,"Gong Junbo (CHN) (2006)_Heat 13 - 2024 Second Belt & Road Invitational Athletics Meeting (Chongqing, CHN)_91"
756,Gong Junbo (CHN) (2006),"Heat 7 - 2024 Chinese National Grand Prix 2 (Qingdao, CHN)",8 / 5,-2.0 m/s,13-May-24,0.184,11.49,17.1,23.52,23.52,85.0,17.1,6.42,-10.68,8.7,8.91,7.79,8.5,5.85,15.58,,,"Gong Junbo (CHN) (2006)_Heat 7 - 2024 Chinese National Grand Prix 2 (Qingdao, CHN)"
757,Gong Junbo (CHN) (2006),"U18 FINAL - 2022 Shandong Provincial Games (Rizhao, CHN)",6 / 2,0.4 m/s,03-Sep-22,0.208,11.26,16.44,22.04,22.04,62.0,16.44,5.6,-10.84,8.88,9.65,8.93,9.07,6.08,17.86,91.0,,"Gong Junbo (CHN) (2006)_U18 FINAL - 2022 Shandong Provincial Games (Rizhao, CHN)_91"
758,"Goremykin, Aleksandr (URS) (1971)","FINAL - 1991 IAAF World Championships (Tokyo, JPN)",8 / 8,-3.4 m/s,27-Aug-91,0.159,10.49,20.78,20.78,88.0,88.0,20.78,67.22,46.44,9.53,9.72,9.62,86.2,4.81,1.49,,Federle (2003) - http://www.fgs.uni-halle.de,"Goremykin, Aleksandr (URS) (1971)_FINAL - 1991 IAAF World Championships (Tokyo, JPN)"
759,"Goremykin, Aleksandr (URS) (1971)","FINAL - 1991 European Cup (Frankfurt, GER)",/ 4,-1.6 m/s,30-Jun-91,,10.71,20.83,20.83,4.0,4.0,20.83,-16.83,-37.66,9.34,9.88,9.6,9.34,4.8,,,Federle (2003) - http://www.fgs.uni-halle.de,"Goremykin, Aleksandr (URS) (1971)_FINAL - 1991 European Cup (Frankfurt, GER)"
760,"Goúsis, Anastásios (GRE) (1979)","FINAL - 2007 IAAF World Championships (Osaka, JPN)",2 / 8,-0.8 m/s,30-Aug-07,0.143,5.91,10.48,15.34,20.75,20.75,10.48,10.27,-0.21,8.46,10.94,10.29,9.24,9.54,9.74,,Tsuchie (2010) - run speed of the men's 200m at the 2007 Osaka World Champs,"Goúsis, Anastásios (GRE) (1979)_FINAL - 2007 IAAF World Championships (Osaka, JPN)"
761,"Goúsis, Anastásios (GRE) (1979)","Semi-Final 2 - 2007 IAAF World Championships (Osaka, JPN)",7 / 4,-0.4 m/s,29-Aug-07,0.151,5.9,10.42,15.19,20.33,20.33,10.42,9.91,-0.51,8.47,11.06,10.48,9.73,9.6,10.09,,Tsuchie (2010) - run speed of the men's 200m at the 2007 Osaka World Champs,"Goúsis, Anastásios (GRE) (1979)_Semi-Final 2 - 2007 IAAF World Championships (Osaka, JPN)"
762,"Goúsis, Anastásios (GRE) (1979)","Quarter-Final 4 - 2007 IAAF World Championships (Osaka, JPN)",4 / 2,0.6 m/s,28-Aug-07,0.139,5.96,10.47,15.25,20.51,20.51,10.47,10.04,-0.43,8.39,11.09,10.46,9.51,9.55,9.96,92.0,Tsuchie (2010) - run speed of the men's 200m at the 2007 Osaka World Champs,"Goúsis, Anastásios (GRE) (1979)_Quarter-Final 4 - 2007 IAAF World Championships (Osaka, JPN)_92"
763,"Goúsis, Anastásios (GRE) (1979)","FINAL - 2007 European Cup (Munich, GER)",/ 3,1.0 m/s,24-Jun-07,0.139,10.52,15.26,20.43,20.43,3.0,15.26,5.17,-10.09,9.51,10.55,9.67,9.79,6.55,19.34,,Graubner (2007) - http://www.fgs.uni-halle.de,"Goúsis, Anastásios (GRE) (1979)_FINAL - 2007 European Cup (Munich, GER)"
764,"Gray, Brent (USA) (1986)","Quarter-Final 2 - 2008 USA Olympic Trials (Eugene, OR)",6 / 5,1.4 m/s,05-Jul-08,,6.07,10.92,15.71,21.14,21.14,10.92,10.22,-0.7,8.24,10.31,10.44,9.21,9.16,9.78,,,"Gray, Brent (USA) (1986)_Quarter-Final 2 - 2008 USA Olympic Trials (Eugene, OR)"
765,"Gray, Brent (USA) (1986)","Heat 1 - 2008 USA Olympic Trials (Eugene, OR)",8 / 2,1.0 m/s,04-Jul-08,,5.92,10.59,15.35,20.64,20.64,10.59,10.05,-0.54,8.45,10.71,10.5,9.45,9.44,9.95,,,"Gray, Brent (USA) (1986)_Heat 1 - 2008 USA Olympic Trials (Eugene, OR)"
766,"Gray, Nick (USA) (1997)","FINAL - 2016 NCAA Championships (Eugene, OR)",/ 7,0.1 m/s,10-Jun-16,,10.8,20.9,20.93,7.0,7.0,20.9,-13.9,-34.8,9.26,9.9,9.56,9.26,4.78,,,,"Gray, Nick (USA) (1997)_FINAL - 2016 NCAA Championships (Eugene, OR)"
767,"Greaux, Kyle (TTO) (1988)","Semi-Final 1 - 2022 Commonwealth Games (Birmingham, GBR)",4 / 4,2.1 m/s,05-Aug-22,0.158,6.0,10.8,15.7,20.91,20.91,10.8,10.11,-0.69,8.33,10.42,10.2,9.6,9.26,9.89,86.0,Longines Timing (2022) - commonwealth games race analysis,"Greaux, Kyle (TTO) (1988)_Semi-Final 1 - 2022 Commonwealth Games (Birmingham, GBR)_86"
768,"Greaux, Kyle (TTO) (1988)","Semi-Final 1 - 2017 IAAF World Championships (London, GBR)",6 / 8,2.1 m/s,09-Aug-17,0.176,10.42,15.24,20.47,20.65,68.0,15.24,5.41,-9.83,9.6,10.37,9.56,9.69,6.56,18.48,,Longines Timing (2022) - commonwealth games race analysis,"Greaux, Kyle (TTO) (1988)_Semi-Final 1 - 2017 IAAF World Championships (London, GBR)"
769,"Green, Joseph (GUM) (2001)","Heat 2 - 2022 World Athletics Championships (Eugene, OR)",6 / 7,0.0 m/s,18-Jul-22,0.164,11.19,22.04,22.04,67.0,67.0,22.04,44.96,22.92,8.94,9.22,9.07,93.7,4.54,2.22,,Timing by Seiko (2022) - world athletics championships race analysis,"Green, Joseph (GUM) (2001)_Heat 2 - 2022 World Athletics Championships (Eugene, OR)"
771,"Greene, Maurice (USA) (1974)","Semi-Final 1 - 2000 USA Olympic Trials (Sacramento, CA)",/ 3,-.07 m/s,23-Jul-00,,10.4,20.3,20.3,3.0,3.0,20.3,-17.3,-37.6,9.62,10.1,9.85,9.62,4.93,,,"Ferro (2001) - biomechanical analysis of the 7th world championships, seville 1999","Greene, Maurice (USA) (1974)_Semi-Final 1 - 2000 USA Olympic Trials (Sacramento, CA)"
772,"Greene, Maurice (USA) (1974)","FINAL - 1999 IAAF World Championships (Sevilla, ESP)",3 / 1,1.2 m/s,27-Aug-99,0.144,5.74,10.25,14.94,19.9,19.9,10.25,9.65,-0.6,8.71,11.09,10.66,10.08,9.76,10.36,,"Ferro (2001) - biomechanical analysis of the 7th world championships, seville 1999","Greene, Maurice (USA) (1974)_FINAL - 1999 IAAF World Championships (Sevilla, ESP)"
773,"Gregory, Robert (USA) (2001)","FINAL - 2024 USA Olympic Trials (Eugene, OR)",3 / 7,0.5 m/s,29-Jun-24,,6.05,10.78,15.59,20.56,20.56,10.78,9.78,-1.0,8.26,10.57,10.4,10.06,9.28,10.22,,USATF and Karmarush (2024) - USA Olympic trials results and race analysis,"Gregory, Robert (USA) (2001)_FINAL - 2024 USA Olympic Trials (Eugene, OR)"
774,"Gregory, Robert (USA) (2001)","Semi-Final 3 - 2024 USA Olympic Trials (Eugene, OR)",8 / 3,2.5 m/s,28-Jun-24,,5.83,10.55,15.18,19.98,19.98,10.55,9.43,-1.12,8.58,10.59,10.8,10.42,9.48,10.6,84.0,USATF and Karmarush (2024) - USA Olympic trials results and race analysis,"Gregory, Robert (USA) (2001)_Semi-Final 3 - 2024 USA Olympic Trials (Eugene, OR)_84"
775,"Gregory, Robert (USA) (2001)","Heat 2 - 2024 USA Olympic Trials (Eugene, OR)",3 / 2,0.0 m/s,27-Jun-24,,5.98,10.63,15.43,20.38,20.38,10.63,9.75,-0.88,8.36,10.75,10.42,10.1,9.41,10.26,,USATF and Karmarush (2024) - USA Olympic trials results and race analysis,"Gregory, Robert (USA) (2001)_Heat 2 - 2024 USA Olympic Trials (Eugene, OR)"
776,"Griffin, Rohsaan (USA) (1974)","Semi-Final 1 - 1996 USA Olympic Trials (Atlanta, GA)",7 / 8,2.7 m/s,23-Jun-96,,10.49,15.12,20.31,20.31,78.0,15.12,5.19,-9.93,9.53,10.8,9.63,9.85,6.61,19.27,,,"Griffin, Rohsaan (USA) (1974)_Semi-Final 1 - 1996 USA Olympic Trials (Atlanta, GA)"
777,"Griffin, Rohsaan (USA) (1974)","Quarter-Final 1 - 1996 USA Olympic Trials (Atlanta, GA)",/ 5,2.4 m/s,22-Jun-96,,10.58,20.6,20.6,5.0,5.0,20.6,-15.6,-36.2,9.45,9.98,9.71,9.45,4.85,,,,"Griffin, Rohsaan (USA) (1974)_Quarter-Final 1 - 1996 USA Olympic Trials (Atlanta, GA)"
778,"Griffin, Rohsaan (USA) (1974)","Heat 2 - 1996 USA Olympic Trials (Atlanta, GA)",/ 5,0.3 m/s,21-Jun-96,,10.56,20.58,20.58,5.0,5.0,20.58,-15.58,-36.16,9.47,9.98,9.72,9.47,4.86,,,,"Griffin, Rohsaan (USA) (1974)_Heat 2 - 1996 USA Olympic Trials (Atlanta, GA)"
779,"Grimes, Mickey (USA) (1976)","Semi-Final 2 - 2008 USA Olympic Trials (Eugene, OR)",3 / 6,-0.9 m/s,05-Jul-08,,5.91,10.59,15.51,20.96,20.96,10.59,10.37,-0.22,8.46,10.68,10.16,9.17,9.44,9.64,,,"Grimes, Mickey (USA) (1976)_Semi-Final 2 - 2008 USA Olympic Trials (Eugene, OR)"
780,"Grimes, Mickey (USA) (1976)","Quarter-Final 1 - 2008 USA Olympic Trials (Eugene, OR)",4 / 3,-0.5 m/s,05-Jul-08,,5.94,10.71,15.63,21.18,21.18,10.71,10.47,-0.24,8.42,10.48,10.16,9.01,9.34,9.55,,,"Grimes, Mickey (USA) (1976)_Quarter-Final 1 - 2008 USA Olympic Trials (Eugene, OR)"
781,"Grimes, Mickey (USA) (1976)","Heat 4 - 2008 USA Olympic Trials (Eugene, OR)",6 / 4,1.2 m/s,04-Jul-08,,5.97,10.67,15.55,21.0,21.0,10.67,10.33,-0.34,8.38,10.64,10.25,9.17,9.37,9.68,88.0,,"Grimes, Mickey (USA) (1976)_Heat 4 - 2008 USA Olympic Trials (Eugene, OR)_88"
782,"Grimes, Mickey (USA) (1976)","FINAL - 2004 USA Olympic Trials (Sacramento, CA)",2 /  7,-0.7 m/s,18-Jul-04,,5.96,10.73,15.53,20.98,20.98,10.73,10.25,-0.48,8.39,10.48,10.42,9.17,9.32,9.76,,,"Grimes, Mickey (USA) (1976)_FINAL - 2004 USA Olympic Trials (Sacramento, CA)"
783,"Grimes, Mickey (USA) (1976)","Semi-Final 1 - 2004 USA Olympic Trials (Sacramento, CA)",7 /  3,-0.7 m/s,17-Jul-04,,5.84,10.44,15.2,20.48,20.48,10.44,10.04,-0.4,8.56,10.87,10.5,9.47,9.58,9.96,,,"Grimes, Mickey (USA) (1976)_Semi-Final 1 - 2004 USA Olympic Trials (Sacramento, CA)"
784,"Grønnhaug, Jonas (NOR) (1989)","B FINAL - 2014 Windsprint (Sundsvall, SWE)",6 / 4,2.1 m/s,20-Jul-14,,11.35,21.73,21.73,64.0,64.0,21.73,42.27,20.54,8.81,9.63,9.2,8.81,4.6,2.37,,Johansen (2014) - www.ssg.se/windsprint/Splittider/,"Grønnhaug, Jonas (NOR) (1989)_B FINAL - 2014 Windsprint (Sundsvall, SWE)"
785,"Groth, Joel (SWE) (1991)","B FINAL - 2014 Windsprint (Sundsvall, SWE)",5 / 2,2.1 m/s,20-Jul-14,,11.15,21.35,21.35,52.0,52.0,21.35,30.65,9.3,8.97,9.8,9.37,8.97,4.68,3.26,,Johansen (2014) - www.ssg.se/windsprint/Splittider/,"Groth, Joel (SWE) (1991)_B FINAL - 2014 Windsprint (Sundsvall, SWE)"
786,"Groth, Joel (SWE) (1991)","G FINAL - 2007 Windsprint (Sundsvall, SWE)",3 / 3,1.0 m/s,24-Jul-07,,12.34,18.05,24.0,24.0,33.0,18.05,5.95,-12.1,8.1,8.76,8.4,8.33,5.54,16.81,,(2007) - www.ssg.se/en/Windsprint/Split-times/,"Groth, Joel (SWE) (1991)_G FINAL - 2007 Windsprint (Sundsvall, SWE)"
787,Guan Xin (CHN) (2001),"Semi-Final 3 - 2024 Chinese National Championships (Quzhou, CHN)",7 / 1,-0.6 m/s,15-Sep-24,0.197,10.54,15.41,20.84,20.84,71.0,15.41,5.43,-9.98,9.49,10.27,9.21,9.6,6.49,18.42,,,"Guan Xin (CHN) (2001)_Semi-Final 3 - 2024 Chinese National Championships (Quzhou, CHN)"
788,Guan Xin (CHN) (2001),"Semi-Final 1 - 2023 Chinese National Championships (Quzhou, CHN)",5 / 1,-0.7 m/s,23-Jul-23,0.232,10.53,15.52,21.03,21.03,51.0,15.52,5.51,-10.01,9.5,10.02,9.07,9.51,6.44,18.15,91.0,,"Guan Xin (CHN) (2001)_Semi-Final 1 - 2023 Chinese National Championships (Quzhou, CHN)_91"
789,Guan Xin (CHN) (2001),"Heat 3 - 2023 Chinese National Championships (Quzhou, CHN)",4 / 2,1.0 m/s,22-Jul-23,0.19,10.54,15.47,20.86,20.86,42.0,15.47,5.39,-10.08,9.49,10.14,9.28,9.59,6.46,18.55,,,"Guan Xin (CHN) (2001)_Heat 3 - 2023 Chinese National Championships (Quzhou, CHN)"
790,Guan Xin (CHN) (2001),"FINAL - 2023 Chinese World Championship & Asian Games Trials (Shenyang, CHN)",3 / 5,0.1 m/s,29-Jun-23,0.206,10.8,15.73,21.0,21.0,35.0,15.73,5.27,-10.46,9.26,10.14,9.49,9.52,6.36,18.98,,,"Guan Xin (CHN) (2001)_FINAL - 2023 Chinese World Championship & Asian Games Trials (Shenyang, CHN)"
791,Guan Xin (CHN) (2001),"Heat 1 - 2023 Chinese World Championship & Asian Games Trials (Shenyang, CHN)",5 / 2,-0.2 m/s,28-Jun-23,0.209,10.59,15.5,20.99,20.99,52.0,15.5,5.49,-10.01,9.44,10.18,9.11,9.53,6.45,18.21,91.0,,"Guan Xin (CHN) (2001)_Heat 1 - 2023 Chinese World Championship & Asian Games Trials (Shenyang, CHN)_91"
792,"Guilbe, Edgardo (PUR) (1966)","Semi-Final 2 - 1988 Olympic Games (Seoul, KOR)",2 / 7,1.6 m/s,28-Sep-88,0.234,5.96,10.61,15.53,20.77,20.77,10.61,10.16,-0.45,8.39,10.75,10.16,9.54,9.43,9.84,,,"Guilbe, Edgardo (PUR) (1966)_Semi-Final 2 - 1988 Olympic Games (Seoul, KOR)"
793,"Guliyev, Ramil (TUR) (1990)","Heat 5 - 2023 World Athletics Championships (Budapest, HUN)",9 / 6,-0.2 m/s,23-Aug-23,0.16,10.86,20.89,20.89,96.0,96.0,20.89,75.11,54.22,9.21,9.97,9.57,89.0,4.79,1.33,89.0,Seiko Timing (2023) - world championship race analysis,"Guliyev, Ramil (TUR) (1990)_Heat 5 - 2023 World Athletics Championships (Budapest, HUN)_89"
794,"Guliyev, Ramil (TUR) (1990)","FINAL - 2021 Doha Diamond League (Doha, QAT)",4 / 8,0.4 m/s,28-May-21,0.149,6.0,10.7,13.1,21.09,21.09,10.7,10.39,-0.31,8.33,10.64,20.83,6.26,9.35,9.62,89.0,Omega Timing (2021) - diamond league race analysis,"Guliyev, Ramil (TUR) (1990)_FINAL - 2021 Doha Diamond League (Doha, QAT)_89"
795,"Guliyev, Ramil (TUR) (1990)","FINAL - 2019 The Match - Europe v USA (Minsk, BLR)",5 / 1,-0.1 m/s,10-Sep-19,0.156,10.52,20.16,20.16,51.0,51.0,20.16,30.84,10.68,9.51,10.37,9.92,88.5,4.96,3.24,,European Athletics (2019) - race analysis,"Guliyev, Ramil (TUR) (1990)_FINAL - 2019 The Match - Europe v USA (Minsk, BLR)"
796,"Guliyev, Ramil (TUR) (1990)","FINAL - 2019 Memorial van Damme (Brussels, BEL)",5 / 2,0.8 m/s,06-Sep-19,0.153,5.8,10.3,14.9,19.86,19.86,10.3,9.56,-0.74,8.62,11.11,10.87,10.08,9.71,10.46,,Omega Timing (2019) - diamond league race analysis,"Guliyev, Ramil (TUR) (1990)_FINAL - 2019 Memorial van Damme (Brussels, BEL)"
797,"Guliyev, Ramil (TUR) (1990)","FINAL - 2019 Meeting de Paris (Paris, FRA)",4 / 2,0.2 m/s,24-Aug-19,0.148,5.9,10.5,15.1,20.01,20.01,10.5,9.51,-0.99,8.47,10.87,10.87,10.18,9.52,10.52,88.0,Omega Timing (2019) - diamond league race analysis,"Guliyev, Ramil (TUR) (1990)_FINAL - 2019 Meeting de Paris (Paris, FRA)_88"
798,"Guliyev, Ramil (TUR) (1990)","FINAL - 2019 Athletissima (Lausanne, SUI)",4 / 5,-0.1 m/s,05-Jul-19,0.13,5.9,10.4,15.1,20.01,20.01,10.4,9.61,-0.79,8.47,11.11,10.64,10.18,9.62,10.41,88.0,Omega Timing (2019) - diamond league race analysis,"Guliyev, Ramil (TUR) (1990)_FINAL - 2019 Athletissima (Lausanne, SUI)_88"
799,"Guliyev, Ramil (TUR) (1990)","FINAL - 2017 IAAF World Championships (London, GBR)",5 / 1,-0.1 m/s,10-Aug-17,0.165,5.79,10.32,15.08,20.09,20.09,10.32,9.77,-0.55,8.64,11.04,10.5,9.98,9.69,10.24,,Takahashi (2017) - 200m running performance analysis in the 2017 season,"Guliyev, Ramil (TUR) (1990)_FINAL - 2017 IAAF World Championships (London, GBR)"
800,"Guliyev, Ramil (TUR) (1990)","Semi-Final 3 - 2017 IAAF World Championships (London, GBR)",4 / 1,0.3 m/s,09-Aug-17,0.167,5.74,10.29,15.01,20.17,20.17,10.29,9.88,-0.41,8.71,10.99,10.59,9.69,9.72,10.12,,Takahashi (2017) - 200m running performance analysis in the 2017 season,"Guliyev, Ramil (TUR) (1990)_Semi-Final 3 - 2017 IAAF World Championships (London, GBR)"
801,"Guliyev, Ramil (TUR) (1990)","Heat 4 - 2017 IAAF World Championships (London, GBR)",5 / 1,0.7 m/s,07-Aug-17,0.153,5.84,10.44,15.18,20.16,20.16,10.44,9.72,-0.72,8.56,10.87,10.55,10.04,9.58,10.29,87.0,Takahashi (2017) - 200m running performance analysis in the 2017 season,"Guliyev, Ramil (TUR) (1990)_Heat 4 - 2017 IAAF World Championships (London, GBR)_87"
802,"Guliyev, Ramil (TUR) (1990)","FINAL - 2016 Olympic Games (Rio de Janeiro, BRA)",1 / 8,-0.5 m/s,18-Aug-16,0.141,10.6,20.43,20.43,18.0,18.0,20.43,-2.43,-22.86,9.43,10.17,9.79,89.2,4.89,,,Takahashi (2017) - 200m running performance analysis in the 2017 season,"Guliyev, Ramil (TUR) (1990)_FINAL - 2016 Olympic Games (Rio de Janeiro, BRA)"
803,"Guliyev, Ramil (TUR) (1990)","FINAL - 2015 IAAF World Championships (Beijing, CHN)",3 / 6,-0.1 m/s,27-Aug-15,0.18,10.5,20.1,20.11,36.0,36.0,20.1,15.9,-4.2,9.52,10.42,9.95,89.0,4.98,6.29,89.0,Takahashi (2017) - 200m running performance analysis in the 2017 season,"Guliyev, Ramil (TUR) (1990)_FINAL - 2015 IAAF World Championships (Beijing, CHN)_89"
804,"Guliyev, Ramil (AZE) (1990)","FINAL - 2009 IAAF World Championships (Berlin, GER)",1 / 7,-0.3 m/s,20-Aug-09,0.165,6.04,10.77,15.62,20.61,20.61,10.77,9.84,-0.93,8.28,10.57,10.31,10.02,9.29,10.16,88.0,,"Guliyev, Ramil (AZE) (1990)_FINAL - 2009 IAAF World Championships (Berlin, GER)_88"
805,"Guliyev, Ramil (AZE) (1990)","Semi-Final 2 - 2009 IAAF World Championships (Berlin, GER)",4 / 4,0.3 m/s,19-Aug-09,0.154,5.85,10.43,15.21,20.28,20.28,10.43,9.85,-0.58,8.55,10.92,10.46,9.86,9.59,10.15,,,"Guliyev, Ramil (AZE) (1990)_Semi-Final 2 - 2009 IAAF World Championships (Berlin, GER)"
806,"Guliyev, Ramil (AZE) (1990)","Quarter-Final 3 - 2009 IAAF World Championships (Berlin, GER)",7 / 2,-0.3 m/s,18-Aug-09,0.154,5.92,10.56,15.31,20.4,20.4,10.56,9.84,-0.72,8.45,10.78,10.53,9.82,9.47,10.16,,,"Guliyev, Ramil (AZE) (1990)_Quarter-Final 3 - 2009 IAAF World Championships (Berlin, GER)"
807,"Guliyev, Ramil (AZE) (1990)","Heat 4 - 2009 IAAF World Championships (Berlin, GER)",5 / 2,0.2 m/s,18-Aug-09,0.148,6.04,10.84,15.76,21.12,21.12,10.84,10.28,-0.56,8.28,10.42,10.16,9.33,9.23,9.73,,,"Guliyev, Ramil (AZE) (1990)_Heat 4 - 2009 IAAF World Championships (Berlin, GER)"
808,Guo Renwang (CHN) (1998),"Heat 6 - 2023 Chinese National Grand Prix 3 (Taizhou, CHN)",5 / 4,-1.0 m/s,27-May-23,0.185,10.88,15.91,21.54,21.54,54.0,15.91,5.63,-10.28,9.19,9.94,8.88,9.29,6.29,17.76,,,"Guo Renwang (CHN) (1998)_Heat 6 - 2023 Chinese National Grand Prix 3 (Taizhou, CHN)"
809,Guo Renwang (CHN) (1998),"U20 FINAL - 2019 Japanese National U18/U20 Championships (Hiroshima, JPN)",6 / 1,-1.2 m/s,20-Oct-19,0.177,5.92,10.62,15.65,21.0,21.0,10.62,10.38,-0.24,8.45,10.64,9.94,9.35,9.42,9.63,,,"Guo Renwang (CHN) (1998)_U20 FINAL - 2019 Japanese National U18/U20 Championships (Hiroshima, JPN)"
810,"Hackley, Jimmie (USA) (1975)","Semi-Final 2 - 2004 USA Olympic Trials (Sacramento, CA)",7 / 8,0.1 m/s,17-Jul-04,,5.87,10.5,15.37,20.88,20.88,10.5,10.38,-0.12,8.52,10.8,10.27,9.07,9.52,9.63,,,"Hackley, Jimmie (USA) (1975)_Semi-Final 2 - 2004 USA Olympic Trials (Sacramento, CA)"
811,"Hall-Thompson, Elijah (USA) (1994)","FINAL - 2020 Bauhaus Galan (Stockholm, SWE)",8 / 7,3.0 m/s,23-Aug-20,0.143,6.0,10.8,15.7,20.9,20.9,10.8,10.1,-0.7,8.33,10.42,10.2,9.62,9.26,9.9,,Omega Timing (2020) - diamond league race analysis,"Hall-Thompson, Elijah (USA) (1994)_FINAL - 2020 Bauhaus Galan (Stockholm, SWE)"
812,"Hall-Thompson, Elijah (USA) (1994)","FINAL - 2017 USATF National Championships (Sacramento, CA)",8 / 3,-2.3 m/s,25-Jun-17,,10.41,20.21,20.21,83.0,83.0,20.21,62.79,42.58,9.61,10.2,9.9,9.61,4.95,1.59,,Omega Timing (2020) - diamond league race analysis,"Hall-Thompson, Elijah (USA) (1994)_FINAL - 2017 USATF National Championships (Sacramento, CA)"
813,"Hama, Ryoutaro (JPN) (2006)","FINAL - 2024 Japanese National High School Championsips (Fukuoka, JPN)",5 / 6,0.1 m/s,31-Jul-24,0.174,6.04,10.97,15.9,21.1,21.1,10.97,10.13,-0.84,8.28,10.14,10.14,9.62,9.12,9.87,,,"Hama, Ryoutaro (JPN) (2006)_FINAL - 2024 Japanese National High School Championsips (Fukuoka, JPN)"
814,"Hamaguchi, Kotaro (JPN) (2001)","FINAL - 2018 Japanese National Youth (U18) Championships (Nagano, JPN)",8 / 6,0.1 m/s,21-Oct-18,0.17,6.36,11.27,16.37,21.68,21.68,11.27,10.41,-0.86,7.86,10.18,9.8,9.42,8.87,9.61,,,"Hamaguchi, Kotaro (JPN) (2001)_FINAL - 2018 Japanese National Youth (U18) Championships (Nagano, JPN)"
815,"Hampton, Millard (USA) (1956)","FINAL - 1976 USA Olympic Trials (Eugene, OR)",8 / 1,1.7 m/s,21-Jun-76,,10.17,15.03,20.1,20.1,81.0,15.03,5.07,-9.96,9.83,10.29,9.86,9.95,6.65,19.72,,Breizer (1984) - sprint competition analysis,"Hampton, Millard (USA) (1956)_FINAL - 1976 USA Olympic Trials (Eugene, OR)"
816,"Hane, Seiya (JPN) (1990)","FINAL - 2011 Japanese National Championships (Kumagaya, JPN)",/ 7,0.0 m/s,11-Jun-11,,5.92,10.67,15.62,20.9,20.9,10.67,10.23,-0.44,8.45,10.53,10.1,9.47,9.37,9.78,,,"Hane, Seiya (JPN) (1990)_FINAL - 2011 Japanese National Championships (Kumagaya, JPN)"
817,"Hansen, Simon (DEN) (1998)","Heat 2 - 2022 World Athletics Championships (Eugene, OR)",2 / 5,0.0 m/s,18-Jul-22,0.128,10.54,20.8,20.8,25.0,25.0,20.8,4.2,-16.6,9.49,9.75,9.62,92.5,4.81,23.81,,Timing by Seiko (2022) - world athletics championships race analysis,"Hansen, Simon (DEN) (1998)_Heat 2 - 2022 World Athletics Championships (Eugene, OR)"
818,"Hara, Shota (JPN) (1992)","Race 2 - 2020 World Athletics Trials (Fuji, JPN)",6 / 2,-0.6 m/s,06-Sep-20,,5.85,10.57,15.59,20.91,20.91,10.57,10.34,-0.23,8.55,10.59,9.96,9.4,9.46,9.67,,Takahasi (2020) - 200m race analysis of top japanese sprinters in 2020,"Hara, Shota (JPN) (1992)_Race 2 - 2020 World Athletics Trials (Fuji, JPN)"
819,"Hara, Shota (JPN) (1992)","FINAL - 2020 Seiko Golden Grand Prix (Tokyo, JPN)",9 / 2,0.6 m/s,23-Aug-20,0.118,5.89,10.66,15.65,20.97,20.97,10.66,10.31,-0.35,8.49,10.48,10.02,9.4,9.38,9.7,,Takahasi (2020) - 200m race analysis of top japanese sprinters in 2020,"Hara, Shota (JPN) (1992)_FINAL - 2020 Seiko Golden Grand Prix (Tokyo, JPN)"
820,"Hara, Shota (JPN) (1992)","FINAL - 2019 Seiko Golden Grand Prix (Osaka, JPN)",1 / 9,-0.4 m/s,19-May-19,0.148,5.81,10.55,15.58,21.03,21.03,10.55,10.48,-0.07,8.61,10.55,9.94,9.17,9.48,9.54,,Takahasi (2020) - 200m race analysis of top japanese sprinters in 2020,"Hara, Shota (JPN) (1992)_FINAL - 2019 Seiko Golden Grand Prix (Osaka, JPN)"
821,"Hara, Shota (JPN) (1992)","B FINAL - 2019 Shizuoka International Athletics Meeting (Fukuroi, JPN)",6 / 2,-0.2 m/s,03-May-19,,5.87,10.61,15.64,20.97,20.97,10.61,10.36,-0.25,8.52,10.55,9.94,9.38,9.43,9.65,,Takahasi (2020) - 200m race analysis of top japanese sprinters in 2020,"Hara, Shota (JPN) (1992)_B FINAL - 2019 Shizuoka International Athletics Meeting (Fukuroi, JPN)"
