,Athlete,Meet Info,Lane_Place,Wind,Date,RT,50m,100m,150m,200m,Time,0-100m,100-200m,Differential,Vel_50m,Vel_100m,Vel_150m,Vel_200m,Vel_0_100m,Vel_100_200m,StrideRate,Source,Ath_Mt_Strd
1680,"Ogando, Alexander (DOM) (2000)","FINAL - 2024 Athletissima (Lausanne, SUI)",5 / 4,0.9 m/s,22-Aug-24,0.147,5.93,10.43,15.0,19.94,19.94,10.43,9.51,-0.92,8.43,11.11,10.94,10.12,9.59,10.52,89.0,Omega Timing (2024) - diamond league race analysis,"Ogando, Alexander (DOM) (2000)_FINAL - 2024 Athletissima (Lausanne, SUI)_89"
1681,"Ogando, Alexander (DOM) (2000)","FINAL - 2024 Olympic Games (Paris, FRA)",4 / 5,0.4 m/s,08-Aug-24,0.142,5.88,10.36,15.01,20.02,20.02,10.36,9.66,-0.7,8.5,11.16,10.75,9.98,9.65,10.35,,Omega Timing (2024) - diamond league race analysis,"Ogando, Alexander (DOM) (2000)_FINAL - 2024 Olympic Games (Paris, FRA)"
1682,"Ogando, Alexander (DOM) (2000)","Semi-Final 1 - 2024 Olympic Games (Paris, FRA)",8 / 2,-0.1 m/s,07-Aug-24,0.159,5.96,10.46,15.11,20.09,20.09,10.46,9.63,-0.83,8.39,11.11,10.75,10.04,9.56,10.38,89.0,Omega Timing (2024) - diamond league race analysis,"Ogando, Alexander (DOM) (2000)_Semi-Final 1 - 2024 Olympic Games (Paris, FRA)_89"
1683,"Ogando, Alexander (DOM) (2000)","Heat 4 - 2024 Olympic Games (Paris, FRA)",5 / 2,0.2 m/s,05-Aug-24,0.159,5.86,10.37,15.02,20.04,20.04,10.37,9.67,-0.7,8.53,11.09,10.75,9.96,9.64,10.34,87.0,Omega Timing (2024) - diamond league race analysis,"Ogando, Alexander (DOM) (2000)_Heat 4 - 2024 Olympic Games (Paris, FRA)_87"
1684,"Ogando, Alexander (DOM) (2000)","FINAL - 2024 Herculis Meeting International d'Athlétisme (Monaco, MON)",4 / 2,0.6 m/s,12-Jul-24,0.161,5.91,10.39,15.02,20.02,20.02,10.39,9.63,-0.76,8.46,11.16,10.8,10.0,9.62,10.38,,Omega Timing (2024) - diamond league race analysis,"Ogando, Alexander (DOM) (2000)_FINAL - 2024 Herculis Meeting International d'Athlétisme (Monaco, MON)"
1685,"Ogando, Alexander (DOM) (2000)","FINAL - 2024 Meeting de Paris (Paris, FRA)",6 / 1,-0.4 m/s,07-Jul-24,0.148,5.92,10.37,15.05,19.98,19.98,10.37,9.61,-0.76,8.45,11.24,10.68,10.14,9.64,10.41,89.0,Omega Timing (2024) - diamond league race analysis,"Ogando, Alexander (DOM) (2000)_FINAL - 2024 Meeting de Paris (Paris, FRA)_89"
1686,"Ogando, Alexander (DOM) (2000)","FINAL - 2024 Prefontaine Classic (Eugene, OR)",3 / 5,1.8 m/s,25-May-24,0.159,6.0,10.57,15.25,20.27,20.27,10.57,9.7,-0.87,8.33,10.94,10.68,9.96,9.46,10.31,90.0,Omega Timing (2024) - diamond league race analysis,"Ogando, Alexander (DOM) (2000)_FINAL - 2024 Prefontaine Classic (Eugene, OR)_90"
1687,"Ogando, Alexander (DOM) (2000)","FINAL - 2024 adidas Atlanta City Games (Atlanta, GA) (straightaway)",1 / 3,0.3 m/s,18-May-24,,5.78,10.18,14.86,14.86,13.0,10.18,4.68,-5.5,8.65,11.36,10.68,13.46,9.82,21.37,,Omega Timing (2024) - diamond league race analysis,"Ogando, Alexander (DOM) (2000)_FINAL - 2024 adidas Atlanta City Games (Atlanta, GA) (straightaway)"
1688,"Ogando, Alexander (DOM) (2000)","FINAL - 2023 Prefontaine Classic (Eugene, OR)",3 / 4,0.6 m/s,17-Sep-23,0.134,5.87,10.42,15.1,20.08,20.08,10.42,9.66,-0.76,8.52,10.99,10.68,10.04,9.6,10.35,,Omega Timing (2023) - diamond league race analysis,"Ogando, Alexander (DOM) (2000)_FINAL - 2023 Prefontaine Classic (Eugene, OR)"
1689,"Ogando, Alexander (DOM) (2000)","FINAL - 2023 World Athletics Championships (Budapest, HUN)",5 / 7,-0.2 m/s,25-Aug-23,0.145,10.51,20.23,20.23,57.0,57.0,20.23,36.77,16.54,9.51,10.29,9.89,89.5,4.94,2.72,,Seiko Timing (2023) - world championship race analysis,"Ogando, Alexander (DOM) (2000)_FINAL - 2023 World Athletics Championships (Budapest, HUN)"
1690,"Ogando, Alexander (DOM) (2000)","Semi-Final 1 - 2023 World Athletics Championships (Budapest, HUN)",6 / 2,-0.1 m/s,24-Aug-23,0.142,10.49,20.02,20.02,62.0,62.0,20.02,41.98,21.96,9.53,10.49,9.99,188.2,5.0,2.38,,Seiko Timing (2023) - world championship race analysis,"Ogando, Alexander (DOM) (2000)_Semi-Final 1 - 2023 World Athletics Championships (Budapest, HUN)"
1691,"Ogando, Alexander (DOM) (2000)","Heat 7 - 2023 World Athletics Championships (Budapest, HUN)",7 / 2,-0.1 m/s,23-Aug-23,0.165,10.73,20.14,20.14,72.0,72.0,20.14,51.86,31.72,9.32,10.63,9.93,88.2,4.97,1.93,,Seiko Timing (2023) - world championship race analysis,"Ogando, Alexander (DOM) (2000)_Heat 7 - 2023 World Athletics Championships (Budapest, HUN)"
1692,"Ogando, Alexander (DOM) (2000)","FINAL - 2023 London Athletics Meet (London, GBR)",5 / 5,1.6 m/s,23-Jul-23,0.152,5.9,10.45,15.15,20.14,20.14,10.45,9.69,-0.76,8.47,10.99,10.64,10.02,9.57,10.32,88.0,Omega Timing (2023) - diamond league race analysis,"Ogando, Alexander (DOM) (2000)_FINAL - 2023 London Athletics Meet (London, GBR)_88"
1693,"Ogando, Alexander (DOM) (2000)","FINAL - 2023 Bislett Games (Oslo, NOR)",3 / 4,0.6 m/s,15-Jun-23,0.131,5.97,10.62,15.32,20.27,20.27,10.62,9.65,-0.97,8.38,10.75,10.64,10.1,9.42,10.36,88.0,Omega Timing (2023) - diamond league race analysis,"Ogando, Alexander (DOM) (2000)_FINAL - 2023 Bislett Games (Oslo, NOR)_88"
1694,"Ogando, Alexander (DOM) (2000)","FINAL - 2023 Doha Diamond League (Doha, QAT)",3 / 7,0.3 m/s,05-May-23,0.164,6.1,10.71,15.46,20.62,20.62,10.71,9.91,-0.8,8.2,10.85,10.53,9.69,9.34,10.09,82.0,Omega Timing (2023) - diamond league race analysis,"Ogando, Alexander (DOM) (2000)_FINAL - 2023 Doha Diamond League (Doha, QAT)_82"
1695,"Ogando, Alexander (DOM) (2000)","FINAL - 2022 Weltklasse (Zürich, SUI)",4 / 3,-0.6 m/s,08-Sep-22,0.157,5.92,10.42,15.07,20.02,20.02,10.42,9.6,-0.82,8.45,11.11,10.75,10.1,9.6,10.42,90.0,Omega Timing (2022) - diamond league race analysis,"Ogando, Alexander (DOM) (2000)_FINAL - 2022 Weltklasse (Zürich, SUI)_90"
1696,"Ogando, Alexander (DOM) (2000)","FINAL - 2022 Memorial van Damme (Brussels, BEL)",4 / 2,-2.9 m/s,02-Sep-22,0.152,5.9,10.38,15.1,20.18,20.18,10.38,9.8,-0.58,8.47,11.16,10.59,9.84,9.63,10.2,90.0,Omega Timing (2022) - diamond league race analysis,"Ogando, Alexander (DOM) (2000)_FINAL - 2022 Memorial van Damme (Brussels, BEL)_90"
1697,"Ogando, Alexander (DOM) (2000)","FINAL - 2022 Athletissima (Lausanne, SUI)",3 / 4,1.3 m/s,26-Aug-22,0.125,5.84,10.39,15.06,20.09,20.09,10.39,9.7,-0.69,8.56,10.99,10.71,9.94,9.62,10.31,89.0,Omega Timing (2022) - diamond league race analysis,"Ogando, Alexander (DOM) (2000)_FINAL - 2022 Athletissima (Lausanne, SUI)_89"
1698,"Ogando, Alexander (DOM) (2000)","FINAL - 2022 Herculis Meeting International d'Athlétisme (Monaco, MON)",3 / 4,0.8 m/s,10-Aug-22,0.155,5.92,10.4,15.04,20.02,20.02,10.4,9.62,-0.78,8.45,11.16,10.78,10.04,9.62,10.4,88.0,Omega Timing (2022) - diamond league race analysis,"Ogando, Alexander (DOM) (2000)_FINAL - 2022 Herculis Meeting International d'Athlétisme (Monaco, MON)_88"
1699,"Ogando, Alexander (DOM) (2000)","FINAL - 2022 World Athletics Championships (Eugene, OR)",4 / 5,0.4 m/s,21-Jul-22,0.127,10.43,19.93,19.93,45.0,45.0,19.93,25.07,5.14,9.59,10.53,10.04,89.0,5.02,3.99,89.0,Timing by Seiko (2022) - world athletics championships race analysis,"Ogando, Alexander (DOM) (2000)_FINAL - 2022 World Athletics Championships (Eugene, OR)_89"
1700,"Ogando, Alexander (DOM) (2000)","Semi-Final 1 - 2022 World Athletics Championships (Eugene, OR)",3 / 1,-0.1 m/s,19-Jul-22,0.128,10.46,19.91,19.91,31.0,31.0,19.91,11.09,-8.82,9.56,10.58,10.05,89.0,5.02,9.02,89.0,Timing by Seiko (2022) - world athletics championships race analysis,"Ogando, Alexander (DOM) (2000)_Semi-Final 1 - 2022 World Athletics Championships (Eugene, OR)_89"
